WKT,nama,deskripsi
"POINT (107.6215321 -7.1340702)",Kabupaten Bandung,
"POINT (107.4919767 -6.865221399999999)",Kabupaten Bandung Barat,
"POINT (107.1735638 -6.366722999999999)",Kabupaten Bekasi,
"POINT (106.6291304 -6.5517758)",Kabupaten Bogor,
"POINT (108.3492543 -7.332077300000001)",Kabupaten Ciamis,
"POINT (107.1957203 -7.3579773)",Kabupaten Cianjur,
"POINT (108.4750846 -6.6898876)",Kabupaten Cirebon,
"POINT (107.763621 -7.501220399999999)",Kabupaten Garut,
"POINT (108.1903059 -6.455732599999999)",Kabupaten Indramayu,
"POINT (108.5700636 -7.0138053)",Kabupaten Kuningan,
"POINT (107.3375791 -6.3227303)",Karawang,
"POINT (108.2852049 -6.7790605)",Kabupaten Majalengka,
"POINT (108.4988269 -7.615061099999999)",Kabupaten Pangandaran,
"POINT (107.4321959 -6.5649241)",Kabupaten Purwakarta,
"POINT (107.763621 -6.3487617)",Kabupaten Subang,
"POINT (106.9474101 -6.8791499)",Kabupaten Sukabumi,
"POINT (107.9531836 -6.832858)",Kabupaten Sumedang,
"POINT (108.1428669 -7.6513306)",Kabupaten Tasikmalaya,
"POINT (107.6191228 -6.9174639)",Bandung,
"POINT (108.5342487 -7.3706874)",Banjar,
"POINT (106.9830865 -6.273375799999999)",Kota Bekasi,
"POINT (106.8060388 -6.597146899999999)",Kota Bogor,
"POINT (107.5413039 -6.8840816)",Cimahi,
"POINT (108.5523164 -6.7320229)",Cirebon,
"POINT (106.7942405 -6.4024844)",Kota Depok,
"POINT (106.9299579 -6.9277361)",Sukabumi,
"POINT (108.2171633 -7.350580799999999)",Kota Tasikmalaya,
