WKT,nama,deskripsi
"POINT (109.6163185 -7.379436800000001)",Kabupaten Banjarnegara,
"POINT (109.140438 -7.4832133)",Kabupaten Banyumas,
"POINT (109.7986045 -7.032551)",Kabupaten Batang,
"POINT (111.3798928 -7.012244)",Kabupaten Blora,
"POINT (110.6883536 -7.431777299999999)",Kabupaten Boyolali,
"POINT (108.902683 -6.9591793)",Kabupaten Brebes,
"POINT (109.023521 -7.6982991)",Cilacap,
"POINT (110.6645683 -6.9238879)",Kabupaten Demak,
"POINT (110.9506636 -7.1541672)",Kabupaten Grobogan,
"POINT (110.6786933 -6.582711000000001)",Kabupaten Jepara,
"POINT (111.0460407 -7.6387228)",Kabupaten Karanganyar,
"POINT (109.6524575 -7.6680559)",Kabupaten Kebumen,
"POINT (110.1879106 -7.0265442)",Kabupaten Kendal,
"POINT (110.6645683 -7.657893)",Kabupaten Klaten,
"POINT (110.8791343 -6.772618599999999)",Kabupaten Kudus,
"POINT (110.2832217 -7.430523699999999)",Kabupaten Magelang,
"POINT (111.0460407 -6.7449635)",Kabupaten Pati,
"POINT (109.6163185 -7.0517128)",Kabupaten Pekalongan,
"POINT (109.4259114 -7.0599422)",Kabupaten Pemalang,
"POINT (109.4259114 -7.3058578)",Kabupaten Purbalingga,
"POINT (109.9989416 -7.6964509)",Kabupaten Purworejo,
"POINT (111.4275888 -6.8082115)",Kabupaten Rembang,
"POINT (110.4738762 -7.176478500000001)",Kabupaten Semarang,
"POINT (111.0091855 -7.430269999999999)",Kabupaten Sragen,
"POINT (110.8552919 -7.648350600000001)",Kabupaten Sukoharjo,
"POINT (109.1047663 -6.8588473)",Kota Tegal,
"POINT (110.0891894 -7.2748721)",Kabupaten Temanggung,
"POINT (111.0460407 -7.8846484)",Kabupaten Wonogiri,
"POINT (109.9001796 -7.363209399999999)",Kabupaten Wonosobo,
"POINT (110.2176941 -7.479734199999999)",Magelang,
"POINT (109.6745916 -6.8898362)",Pekalongan,
"POINT (110.5084366 -7.330523400000001)",Salatiga,
"POINT (110.4120729 -6.9818006)",Kota Semarang,
"POINT (110.8243272 -7.575488699999999)",Surakarta,
"POINT (109.1255917 -6.879704100000001)",Tegal,
