WKT,nama,deskripsi
"POINT (112.9136695 -7.038374999999999)",Kabupaten Bangkalan,
"POINT (114.3691416 -8.2190944)",Kabupaten Banyuwangi,
"POINT (112.2200091 -8.1308657)",Kabupaten Blitar,
"POINT (111.7614661 -7.317462900000001)",Kabupaten Bojonegoro,
"POINT (113.9060624 -7.9673906)",Kabupaten Bondowoso,
"POINT (112.5721881 -7.155029099999999)",Kabupaten Gresik,
"POINT (113.6680747 -8.1844859)",Kabupaten Jember,
"POINT (112.28609 -7.5740867)",Kabupaten Jombang,
"POINT (112.1907122 -7.8232397)",Kabupaten Kediri,
"POINT (112.3337769 -7.126926099999999)",Kabupaten Lamongan,
"POINT (113.1441558 -8.0943571)",Kabupaten Lumajang,
"POINT (111.6183755 -7.609330600000001)",Kabupaten Madiun,
"POINT (111.356045 -7.6433138)",Kabupaten Magetan,
"POINT (112.7152125 -8.242208999999999)",Kabupaten Malang,
"POINT (112.4768287 -7.563831)",Kabupaten Mojokerto,
"POINT (111.9045541 -7.594350700000001)",Kabupaten Nganjuk,
"POINT (111.3321974 -7.460986999999998)",Kabupaten Ngawi,
"POINT (111.1414226 -8.126331)",Kabupaten Pacitan,
"POINT (113.5252319 -7.1050857)",Kabupaten Pamekasan,
"POINT (112.858217 -7.785996099999999)",Pasuruan,
"POINT (111.4696322 -7.8650759)",Kabupaten Ponorogo,
"POINT (113.4776098 -7.871756199999999)",Kabupaten Probolinggo,
"POINT (113.2394452 -7.0402326)",Kabupaten Sampang,
"POINT (112.6675398 -7.472613399999998)",Kabupaten Sidoarjo,
"POINT (114.1914951 -7.7888522)",Kabupaten Situbondo,
"POINT (113.9060624 -6.925399899999999)",Kabupaten Sumenep,
"POINT (111.6183755 -8.182411199999999)",Kabupaten Trenggalek,
"POINT (112.0416754 -6.8949099)",Tuban,
"POINT (111.9045541 -8.0843211)",Kabupaten Tulungagung,
"POINT (112.5334492 -7.883064800000001)",Batu,
"POINT (112.1609056 -8.095462699999999)",Blitar,
"POINT (112.0178286 -7.848015599999999)",Kediri,
"POINT (111.5300159 -7.6310587)",Madiun,
"POINT (112.6326321 -7.9666204)",Malang,
"POINT (112.4401329 -7.4704747)",Kota Mojokerto,
"POINT (112.8999225 -7.6469193)",Pasuruan,
"POINT (113.2037131 -7.776422600000001)",Probolinggo,
"POINT (112.7520883 -7.2574719)",Surabaya,
